Reactor_Cost,XTOL,Diameter(ft),Length(ft),installation_cost,total_capital_investment,annual_capital_investment,catalyst_cost,annual_catalyst_cost,annual_reactor_cost,Reactor_Heating_Cost,XTOL,installation_cost,total_capital_investment,annual_capital_investment,annual_reactor_heating_cost,Water_Cost,XTOL,volume_flowrate,annual_water_cost,Furnace_Cost,XTOL,annual_operating_cost,installation_cost,total_capital_investment,annual_capital_investment,annual_furnace_cost,Pump_Cost,XTOL,annual_operating_cost,installation_cost,total_capital_investment,annual_capital_investment,annual_pump_cost,Economic Potential 2,XTOL,TOLCOST,BENZCOST,METHCOST,PXYLCOST,MXYLCOST,OXYLCOST,ETHCOST,economic_potential_2,Economic Potential 3,XTOL,economic_potential_2,annual_reactor_cost,annual_reactor_heating_cost,annual_furnace_cost,annual_pump_cost,annual_water_cost,economic_potential_3
,0.040146053,2.2967,22.967000000000002,88626.09870509618,185760.30288588163,61920.10096196054,2135.0628883942213,181257.94312930107,243178.0440912616,,0.040146053,238577.49179482373,498626.95785118156,166208.98595039384,166208.98595039384,,0.040146053,853731.3707876431,6932.298730795661,,0.040146053,17542985.210489176,23455702.38793,49022417.99077369,16340805.996924564,33883791.20741374,,0.040146053,27205.01394143179,39752.5544312031,83082.83876121447,27694.27958707149,54899.29352850328,,0.040146053,-8661.7795272464,672.9356813810599,-1680.7363808039997,17680.9760113776,131.80159350455997,126.15295378293601,37.917294561419084,67704231.15644096,,0.040146053,67704231.15644096,243178.0440912616,166208.98595039384,33883791.20741374,54899.29352850328,6932.298730795661,33349221.32672627
,0.0750829366,2.461135291111,24.61135291111,100846.29485233636,211373.83401049703,70457.94467016567,2627.2676869608704,223044.07967428223,293502.0243444479,,0.0750829366,246812.8478585464,515838.8520243619,171946.28400812062,171946.28400812062,,0.0750829366,899488.3434277549,7303.845348633369,,0.0750829366,9821442.08738443,14325488.521868058,29940271.010704238,9980090.336901411,19801532.424285844,,0.0750829366,15232.591303655832,27658.607867543695,57806.490443166316,19268.830147722103,34501.42145137794,,0.0750829366,-9060.1869644872,780.3599266526201,-1968.5819234951998,17680.9616872088,311.40665644255995,298.06065688073596,89.58691322302455,66272596.66226654,,0.0750829366,66272596.66226654,293502.0243444479,171946.28400812062,19801532.424285844,34501.42145137794,7303.845348633369,45963810.66282812
,0.101196767,2.637343541885,26.37343541885,114751.47058668427,240519.08234969023,80173.02744989673,3232.942461505233,274463.3443882047,354636.3718381014,,0.101196767,256245.28368036012,535552.6428919527,178517.54763065086,178517.54763065086,,0.101196767,952915.0411137019,7737.670133843259,,0.101196767,7676982.965060026,11619099.218642918,24283917.3669637,8094639.122321233,15771622.087381259,,0.101196767,11907.74816678289,23667.440739879617,49464.951146348394,16488.317048782796,28396.065215565686,,0.101196767,-9536.328578091201,910.52156558437,-2309.8571990928,17680.9761504472,524.7085730650399,502.221062790824,150.95059905849993,64574016.21615976,,0.101196767,64574016.21615976,354636.3718381014,178517.54763065086,15771622.087381259,28396.065215565686,7737.670133843259,48233106.47396034
,0.120942421,2.826167660908,28.261676609080006,130573.95970528567,273683.0195422788,91227.6731807596,3978.2459399056997,337736.5042732443,428964.1774540039,,0.120942421,267092.69445542264,558223.7314118333,186074.57713727775,186074.57713727775,,0.120942421,1015677.7024502936,8247.302943896384,,0.120942421,6805299.19154528,10487708.548038606,21919310.865400683,7306436.955133561,14111736.14667884,,0.120942421,10566.829547836027,21933.5029976576,45841.021265104384,15280.340421701461,25847.16996953749,,0.120942421,-10104.5589876544,1069.47018830695,-2713.6179874296,17680.9658592968,777.5360050919999,744.2130334452,223.68516750321092,62573200.22026533,,0.120942421,62573200.22026533,428964.1774540039,186074.57713727775,14111736.14667884,25847.16996953749,8247.302943896384,47812330.84608178
,0.136020823,3.0285108910750003,30.285108910749997,148578.13007723683,311419.7606418884,103806.58688062947,4895.3672706810585,415596.283917194,519402.8707978235,,0.136020823,279543.45683402003,584245.8247831018,194748.60826103392,194748.60826103392,,0.136020823,1089426.5427982938,8846.143527522143,,0.136020823,6454434.036669268,10026281.911611127,20954929.195267253,6984976.398422417,13439410.435091686,,0.136020823,10033.85112865946,21220.079595413034,44349.966354413235,14783.322118137745,24817.173246797203,,0.136020823,-10782.3873767824,1262.96402012254,-3190.8743340408005,17680.9632169744,1076.9740391816,1030.8180089309599,309.8288918370469,60214534.69972026,,0.136020823,60214534.69972026,519402.8707978235,194748.60826103392,13439410.435091686,24817.173246797203,8846.143527522143,46027309.468795404
,0.147982026,3.245341153634,32.45341153634,169064.8027027764,354359.8264650193,118119.94215500643,6023.916337539015,511405.397405656,629525.3395606624,,0.147982026,293732.77298328996,613901.495535076,204633.83184502533,204633.83184502533,,0.147982026,1175654.212697492,9546.312207103634,,0.147982026,6373557.552078187,9919392.95024522,20731531.26601251,6910510.422004169,13284067.974082354,,0.147982026,9920.124940116057,21065.904850349256,44027.74113722994,14675.91371240998,24596.038652526036,,0.147982026,-11588.297593372,1497.3477243405998,-3752.41722339312,17680.969614176,1430.0936204184,1368.8038938290401,411.41597392948415,57440515.48091648,,0.147982026,57440515.48091648,629525.3395606624,204633.83184502533,13284067.974082354,24596.038652526036,9546.312207103634,43288145.984568805
,0.157618968,3.47769565471,34.7769565471,192376.27576004123,403220.67399304645,134406.89133101547,7412.634364142466,629301.7715391781,763708.6628701936,,0.157618968,309871.7177343953,647631.8900648861,215877.29668829535,215877.29668829535,,0.157618968,1276489.8020151616,10365.097192363111,,0.157618968,6475881.38323705,10054593.62356204,21014100.673244663,7004700.224414887,13480581.607651938,,0.157618968,10091.575353209882,21298.06684798061,44512.95971227947,14837.65323742649,24929.228590636372,,0.157618968,-12546.917140956,1783.34042382244,-4413.46319122608,17680.2337969224,1846.7944968367997,1767.64616125808,531.2944199987154,54188771.07824926,,0.157618968,54188771.07824926,763708.6628701936,215877.29668829535,13480581.607651938,24929.228590636372,10365.097192363111,39693309.18525584
,0.165888756,3.7266859216399997,37.2668592164,218902.05162436888,458818.7002046772,152939.56673489237,9121.499501642627,774377.3014415355,927316.8681764279,,0.165888756,328131.64207080385,685795.13192798,228598.37730932666,228598.37730932666,,0.165888756,1394032.8219414232,11319.546514164356,,0.165888756,6708188.069843786,10360361.642930096,21653155.8337239,7217718.6112413,13925906.681085085,,0.165888756,10466.017244290386,21799.683787232523,45561.33911531597,15187.113038438656,25653.130282729042,,0.165888756,-13685.707104487201,2130.12772185917,-5189.167065713041,17680.9753160296,2336.9620742551997,2236.80655678712,672.3081033569938,50385790.65701589,,0.165888756,50385790.65701589,927316.8681764279,228598.37730932666,13925906.681085085,25653.130282729042,11319.546514164356,35266996.05364815
,0.173317224,3.9935029443000003,39.935029443,249085.3262918386,522082.84390769375,174027.61463589792,11224.316063227505,952897.6657844185,1126925.2804203164,,0.173317224,348651.8709341277,728682.4102523269,242894.13675077562,242894.13675077562,,0.173317224,1530389.783976692,12426.76504589074,,0.173317224,7050501.036415461,10808052.697754584,22588830.13830708,7529610.04610236,14580111.082517821,,0.173317224,11012.805813552985,22519.471993557167,47065.69646653448,15688.565488844826,26701.371302397813,,0.173317224,-15034.446059456,2550.87500130561,-6096.335628078719,17680.979349048,2911.8959604392,2787.1004192775204,837.7077512093197,45947880.86902121,,0.173317224,45947880.86902121,1126925.2804203164,242894.13675077562,14580111.082517821,26701.371302397813,12426.76504589074,29958822.232984006
,0.180342752,4.27942309731,42.79423097310001,283430.41843862535,594070.1570473588,198023.38568245294,13811.903634043912,1172573.068931853,1370596.4546143059,,0.180342752,371632.03272861487,776710.948402805,258903.64946760167,258903.64946760167,,0.180342752,1688301.3464085902,13709.006932837752,,0.180342752,7492543.610795427,11381391.365445301,23787107.953780677,7929035.984593559,15421579.595388986,,0.180342752,11716.257462606804,23424.795284685,48957.822144991645,16319.274048330548,28035.53151093735,,0.180342752,-16631.477923124003,3061.71036411215,-7155.907284447361,17680.9829648576,3585.4921203976,3431.8281723805608,1031.4910250775697,40783573.429921046,,0.180342752,40783573.429921046,1370596.4546143059,258903.64946760167,15421579.595388986,28035.53151093735,13709.006932837752,23690749.19200638
