Reactor_Cost,XTOL,Diameter(ft),Length(ft),installation_cost,total_capital_investment,annual_capital_investment,catalyst_cost,annual_catalyst_cost,annual_reactor_cost,Reactor_Heating_Cost,XTOL,installation_cost,total_capital_investment,annual_capital_investment,annual_reactor_heating_cost,Water_Cost,XTOL,volume_flowrate,annual_water_cost,Furnace_Cost,XTOL,annual_operating_cost,installation_cost,total_capital_investment,annual_capital_investment,annual_furnace_cost,Pump_Cost,XTOL,annual_operating_cost,installation_cost,total_capital_investment,annual_capital_investment,annual_pump_cost,Economic Potential 2,XTOL,TOLCOST,BENZCOST,METHCOST,PXYLCOST,MXYLCOST,OXYLCOST,ETHCOST,economic_potential_2,Economic Potential 3,XTOL,economic_potential_2,annual_reactor_cost,annual_reactor_heating_cost,annual_furnace_cost,annual_pump_cost,annual_water_cost,economic_potential_3
,0.0584257433,1.60769,16.076900000000002,45520.26387640153,95410.4730849376,31803.491028312535,732.3265707192181,62171.47449335029,93974.96552166282,,0.0584257433,211969.0149286507,443015.2412008799,147671.74706695997,147671.74706695997,,0.0584257433,846692.0031772722,6875.139065799449,,0.0584257433,13876231.265157102,19217251.319712114,40164055.25819831,13388018.419399437,27264249.684556536,,0.0584257433,18848.778722494757,31620.161482493186,66086.13749841075,22028.71249947025,40877.49122196501,,0.0584257433,-8729.5700727488,707.0595648216299,-1633.4692836552001,17680.9750378904,153.45441747719997,146.87779958532,27.83966505238684,68078312.09664692,,0.0584257433,68078312.09664692,93974.96552166282,147671.74706695997,27264249.684556536,40877.49122196501,6875.139065799449,40524663.069213994
,0.0985024302,1.690426196122,16.90426196122,49993.75796497118,104786.91669457959,34928.972231526524,851.3075857360172,72272.4669140473,107201.43914557382,,0.0985024302,217215.8273827925,453981.07923003624,151327.02641001207,151327.02641001207,,0.0985024302,879149.0522839957,7138.690304546044,,0.0985024302,8543855.4107679,12725248.63010257,26595769.63691437,8865256.545638122,17409111.95640602,,0.0985024302,11607.099335709447,23285.766810341058,48667.25263361281,16222.417544537602,27829.51688024705,,0.0985024302,-9052.030949137601,783.44915754701,-1801.9036181231995,17680.979905326403,305.03328330384,291.960428305104,55.33906773520218,67342042.29089758,,0.0985024302,67342042.29089758,107201.43914557382,151327.02641001207,17409111.95640602,27829.51688024705,7138.690304546044,49639433.66175117
,0.131327294,1.7774202279690001,17.774202279689998,54906.883781148026,115084.82840528627,38361.60946842875,989.6194346261614,84014.56658545016,122376.17605387891,,0.131327294,223002.4554662122,466075.13192438346,155358.37730812782,155358.37730812782,,0.131327294,915438.0088502521,7433.356631864047,,0.131327294,6673870.937346045,10315293.825376883,21558964.095037684,7186321.365012561,13860192.302358605,,0.131327294,9067.667193686879,19886.86617920562,41563.55031453974,13854.516771513245,22922.18396520012,,0.131327294,-9417.8861904944,869.8446251036199,-1992.0120244776,17680.9753160296,476.36047841479996,455.94502933987997,86.42120790285337,66501134.80082282,,0.131327294,66501134.80082282,122376.17605387891,155358.37730812782,13860192.302358605,22922.18396520012,7433.356631864047,52332852.40450513
,0.158110503,1.8688912138450002,18.68891213845,60302.84593761269,126394.76508523621,42131.5883617454,1150.4027929224756,97664.40377414766,139795.99213589306,,0.158110503,229406.02528660287,479458.59284899995,159819.53094966663,159819.53094966663,,0.158110503,956190.874350328,7764.2698997246625,,0.158110503,5791224.984272188,9143560.473159399,19110041.38890314,6370013.796301046,12161238.780573234,,0.158110503,7871.127709505281,18154.10035768776,37942.06974756742,12647.356582522472,20518.48429202775,,0.158110503,-9832.9756373904,970.0941978643399,-2206.5131627848796,17680.9747597512,669.9622660023999,641.24959745944,121.54439951423791,65561341.826393165,,0.158110503,65561341.826393165,139795.99213589306,159819.53094966663,12161238.780573234,20518.48429202775,7764.2698997246625,53072204.76854262
,0.18014869,1.965069552132,19.65069552132,66229.09518647236,138816.18351084608,46272.061170282024,1337.3086078230535,113531.92868497799,159803.98985526,,0.18014869,236473.54956977128,494229.7186008219,164743.2395336073,164743.2395336073,,0.18014869,1001885.4190855538,8135.309602974697,,0.18014869,5326482.731017397,8515985.527957939,17798409.75343209,5932803.25114403,11259285.982161427,,0.18014869,7244.929449077874,17205.312172712795,35959.102440969735,11986.367480323244,19231.29692940112,,0.18014869,-10303.1481527456,1086.1843911418598,-2447.9817225890397,17680.9886667112,888.2708428999998,850.2020924899999,161.14989126563432,64512677.97476854,,0.18014869,64512677.97476854,159803.98985526,164743.2395336073,11259285.982161427,19231.29692940112,8135.309602974697,52901478.15668587
,0.198489527,2.066197492184,20.661974921840002,72737.74511531046,152458.31376169075,50819.43792056358,1554.5809832099987,131977.44805376552,182796.88597432908,,0.198489527,244260.49214894415,510504.4285912932,170168.1428637644,170168.1428637644,,0.198489527,1053089.3517454728,8551.08553617324,,0.198489527,5084186.795035565,8185566.544965506,17107834.078977905,5702611.359659301,10786798.154694866,,0.198489527,6920.661609747999,16701.12190450905,34905.34478042391,11635.11492680797,18555.776536555968,,0.198489527,-10835.399816192,1219.2964960534798,-2719.6533533865595,17680.631814117598,1134.3473470391998,1085.73246073752,205.7930345150591,63331596.060507014,,0.198489527,63331596.060507014,182796.88597432908,170168.1428637644,10786798.154694866,18555.776536555968,8551.08553617324,52164726.01490132
,0.213704479,2.172529760998,21.72529760998,79886.03147089851,167441.12196300327,55813.707321001086,1807.1535862020337,153419.8096619435,209233.51698294457,,0.213704479,252816.93517225358,528387.3945100099,176129.13150333663,176129.13150333663,,0.213704479,1110375.1553924968,9016.246261787075,,0.213704479,4984700.459401039,8049217.742758437,16822865.082365133,5607621.694121711,10592322.15352275,,0.213704479,6790.42665832822,16495.974675284924,34476.587071345486,11492.195690448494,18282.622348776713,,0.213704479,-11437.525686472001,1371.5251535540299,-3024.7015989787196,17680.9694751064,1411.1399286711999,1350.66250315672,256.00868024831306,62005839.41058044,,0.213704479,62005839.41058044,209233.51698294457,176129.13150333663,10592322.15352275,18282.622348776713,9016.246261787075,51000855.73996084
,0.226669668,2.284334180042,22.84334180042,87736.81385181764,183896.36183340978,61298.78727780326,2100.7616213931287,178345.90848285417,239644.69576065743,,0.226669668,262197.43302774854,547992.6350279944,182664.2116759981,182664.2116759981,,0.226669668,1174388.2432120754,9536.032534882052,,0.226669668,4978578.572899152,8040814.269366397,16805301.822975766,5601767.274325255,10580345.847224407,,0.226669668,6787.170358688694,16490.825254111944,34465.82478109396,11488.608260364652,18275.778619053344,,0.226669668,-12117.932337080001,1547.00829916357,-3367.4090847479997,17678.550498483997,1722.929256244,1649.0894309764,312.57342802079444,60512197.3521452,,0.226669668,60512197.3521452,239644.69576065743,182664.2116759981,10580345.847224407,18275.778619053344,9536.032534882052,49481730.7863302
,0.237886197,2.4018923673890002,24.01892367389,96359.13032912479,201968.73716984555,67322.91238994851,2442.0721269552982,207321.74827797583,274644.6606679243,,0.237886197,272462.1805155735,569445.9572775485,189815.31909251615,189815.31909251615,,0.237886197,1245861.7057863115,10116.39705098485,,0.237886197,5044782.229637511,8131609.7879254585,16995064.456764206,5665021.485588068,10709803.71522558,,0.237886197,6882.476804946939,16641.13410039799,34779.9702698318,11593.323423277267,18475.800228224205,,0.237886197,-12887.292204163201,1748.36971394127,-3750.97710421152,17681.0194010928,2072.2967057016,1983.48398974296,375.95559015078794,58866277.15187579,,0.237886197,58866277.15187579,274644.6606679243,189815.31909251615,10709803.71522558,18475.800228224205,10116.39705098485,47663421.259610556
,0.24763674,2.525500426727,25.255004267270003,105828.80316767273,221817.17143944206,73939.05714648069,2838.8353150608614,241005.2897681877,314944.3469146684,,0.24763674,283669.47977365885,592869.2127269469,197623.0709089823,197623.0709089823,,0.24763674,1325570.211404076,10763.630116601098,,0.24763674,5172290.431894495,8305981.081781362,17359500.460923046,5786500.153641015,10958790.585535511,,0.24763674,7061.42451918551,16921.123976294926,35365.14911045639,11788.383036818796,18849.807556004307,,0.24763674,-13756.054921977602,1980.81388608975,-4181.136426607681,17680.977958352,2465.181589332,2359.5309497892,447.2326744758956,57021847.53204653,,0.24763674,57021847.53204653,314944.3469146684,197623.0709089823,10958790.585535511,18849.807556004307,10763.630116601098,45520876.09101475
