Reactor_Cost,XTOL,Diameter(ft),Length(ft),installation_cost,total_capital_investment,annual_capital_investment,catalyst_cost,annual_catalyst_cost,annual_reactor_cost,Reactor_Heating_Cost,XTOL,installation_cost,total_capital_investment,annual_capital_investment,annual_reactor_heating_cost,Water_Cost,XTOL,volume_flowrate,annual_water_cost,Furnace_Cost,XTOL,annual_operating_cost,installation_cost,total_capital_investment,annual_capital_investment,annual_furnace_cost,Pump_Cost,XTOL,annual_operating_cost,installation_cost,total_capital_investment,annual_capital_investment,annual_pump_cost,Economic Potential 2,XTOL,TOLCOST,BENZCOST,METHCOST,PXYLCOST,MXYLCOST,OXYLCOST,ETHCOST,economic_potential_2,Economic Potential 3,XTOL,economic_potential_2,annual_reactor_cost,annual_reactor_heating_cost,annual_furnace_cost,annual_pump_cost,annual_water_cost,economic_potential_3
,0.0523276237,1.93579,19.3579,64397.65472153794,134977.48429634352,44992.49476544784,1278.4171456429062,108532.2889269759,153524.78369242375,,0.0523276237,203233.80161917,424758.6453840653,141586.21512802175,141586.21512802175,,0.0523276237,825237.5138781568,6700.928612690632,,0.0523276237,16571595.75376548,22347047.43814829,46705329.14572992,15568443.04857664,32140038.80234212,,0.0523276237,21783.050873920372,34614.69272823084,72344.70780200245,24114.902600667483,45897.953474587855,,0.0523276237,-9037.468063656801,973.8421601486399,-1608.4032375743993,17680.961826278402,186.4932985944,178.50072865464,30.576970785296815,68496705.01832594,,0.0523276237,68496705.01832594,153524.78369242375,141586.21512802175,32140038.80234212,45897.953474587855,6700.928612690632,36008956.3350761
,0.0823570801,2.019018234568,20.19018234568,69665.99202960696,146019.9192940562,48673.30643135206,1450.502842683309,123141.64758196841,171814.95401332047,,0.0823570801,207776.15015996303,434252.1538343227,144750.71794477422,144750.71794477422,,0.0823570801,853783.6119615728,6932.72292912797,,0.0823570801,10930063.214999046,15688800.574164877,32789593.20000459,10929864.40000153,21859927.615000576,,0.0823570801,14368.704341864193,26658.30760667715,55715.86289795524,18571.95429931841,32940.65864118261,,0.0823570801,-9374.054805506401,1069.7777155785,-1757.5337559167992,17680.97517696,335.38046934055996,321.007020654536,54.988135637730814,67893900.64749724,,0.0823570801,67893900.64749724,171814.95401332047,144750.71794477422,21859927.615000576,32940.65864118261,6932.72292912797,45677533.97896826
,0.108296212,2.105824822885,21.05824822885,75365.32924586315,157965.73009932917,52655.24336644306,1645.7527243589032,139717.54899505273,192372.79236149578,,0.108296212,212692.4477087602,444527.2157113088,148175.73857043625,148175.73857043625,,0.108296212,885060.5952404203,7186.692033352212,,0.108296212,8650376.571944136,12859978.176892996,26877354.38970636,8959118.129902119,17609494.701846257,,0.108296212,11372.735849916055,22985.49219588849,48039.678689406945,16013.226229802314,27385.962079718367,,0.108296212,-9748.525763415199,1177.0375486732598,-1922.5733402448004,17680.9754550992,500.41925965359997,478.97271995415997,82.04747938481889,67224079.87670608,,0.108296212,67224079.87670608,192372.79236149578,148175.73857043625,17609494.701846257,27385.962079718367,7186.692033352212,49239463.98981482
,0.130378419,2.196363614322,21.96363614322,81530.92624613614,170888.82141190136,56962.94047063378,1867.2848852082695,158524.7064004937,215487.64687112748,,0.130378419,218039.10677766748,455701.733165325,151900.577721775,151900.577721775,,0.130378419,919520.0380626805,7466.5027090689655,,0.130378419,7497607.087394194,11387928.866978748,23800771.33198558,7933590.443995194,15431197.531389387,,0.130378419,9857.88330580591,20981.226656839583,43850.763712794724,14616.92123759824,24474.80454340415,,0.130378419,-10165.497623140001,1298.14933457297,-2105.3799747791995,17680.976567656002,683.5212461554399,654.227478463064,112.06841921030116,66488233.4023294,,0.130378419,66488233.4023294,215487.64687112748,151900.577721775,15431197.531389387,24474.80454340415,7466.5027090689655,50657706.33909464
,0.149590793,2.290795069465,22.90795069465,88200.92724953192,184869.1435150189,61623.047838339626,2118.6371319968207,179863.46485181342,241486.51269015303,,0.149590793,223835.19204952187,467815.5513835007,155938.51712783356,155938.51712783356,,0.149590793,957393.3117256791,7774.033691212513,,0.149590793,6834658.606008826,10526155.276349684,21999664.52757084,7333221.50919028,14167880.115199106,,0.149590793,8989.660315191884,19776.804665153297,41333.52175017039,13777.840583390129,22767.500898582013,,0.149590793,-10628.726125334402,1433.77274472139,-2307.22332103152,17680.9769848648,886.070501736,848.0960516616,145.2778847866567,65674694.47944685,,0.149590793,65674694.47944685,241486.51269015303,155938.51712783356,14167880.115199106,22767.500898582013,7774.033691212513,51078847.79983996
,0.166360114,2.389286555405,23.89286555405,95416.59757193012,199993.18851076555,66664.39617025518,2403.8235104869455,204074.60010904795,270738.9962793031,,0.166360114,230122.59545125582,480956.22449312464,160318.7414977082,160318.7414977082,,0.166360114,999078.143924191,8112.514528664431,,0.166360114,6444022.989421979,10012533.654155403,20926195.33718479,6975398.445728263,13419421.435150241,,0.166360114,8480.746805321225,19049.158252320016,39812.74074734883,13270.913582449608,21751.660387770833,,0.166360114,-11143.730754532,1586.15060497576,-2530.29991413888,17680.9760113776,1110.3404095672,1062.75439201432,182.04861218708135,64778150.7958263,,0.166360114,64778150.7958263,270738.9962793031,160318.7414977082,13419421.435150241,21751.660387770833,8112.514528664431,50897807.44798261
,0.181240512,2.4920126279040002,24.920126279039998,103222.57790021138,216354.52327884306,72118.17442628101,2727.398370312312,231544.757479639,303662.93190592004,,0.181240512,236925.93002926183,495175.19376115716,165058.3979203857,165058.3979203857,,0.181240512,1044879.2882768901,8484.419820808347,,0.181240512,6218697.699569734,9714154.324989436,20302582.53922792,6767527.513075974,12986225.212645708,,0.181240512,8189.0100136163,18624.152185033716,38924.47806672046,12974.826022240153,21163.836035856453,,0.181240512,-11715.725425856,1757.39472361915,-2776.45624128072,17680.980044396,1358.3111265864,1300.09779258984,222.7052662795154,63792554.383623615,,0.181240512,63792554.383623615,303662.93190592004,165058.3979203857,12986225.212645708,21163.836035856453,8484.419820808347,50307959.58529494
,0.194417371,2.5991553529330003,25.99155352933,111667.16134967655,234054.37018892207,78018.12339630735,3094.5291312166296,262712.6293689118,340730.75276521913,,0.194417371,244283.18170823238,510551.8497702056,170183.94992340187,170183.94992340187,,0.194417371,1095212.490302747,8893.125421258304,,0.194417371,6111525.61809954,9571668.762081092,20004787.71274948,6668262.570916493,12779788.189016033,,0.194417371,8052.6098052143825,18423.368059531156,38504.839244420116,12834.946414806705,20887.556220021088,,0.194417371,-12351.157108765603,1949.5049582457898,-3048.13157455656,17680.9797662568,1632.5484975295997,1562.58213334976,267.66853389249553,62706060.928511105,,0.194417371,62706060.928511105,340730.75276521913,170183.94992340187,12779788.189016033,20887.556220021088,8893.125421258304,49385577.355165176
,0.20622577,2.710904618367,27.10904618367,120802.59139588408,253202.23156577305,84400.74385525768,3511.078770096462,298075.9580863142,382476.7019415719,,0.20622577,252226.00770534226,527152.3561041653,175717.45203472176,175717.45203472176,,0.20622577,1150475.3234583533,9341.859626481828,,0.20622577,6090497.903086429,9543668.555481706,19946267.280956764,6648755.760318921,12739253.663405351,,0.20622577,8029.587244696753,18389.344576455573,38433.73016479214,12811.243388264047,20840.830632960802,,0.20622577,-13056.745573460801,2166.3225115156397,-3347.74763186256,17680.9740644032,1935.6388029327998,1852.68285423568,317.3624551395294,61520172.98566343,,0.20622577,61520172.98566343,382476.7019415719,175717.45203472176,12739253.663405351,20840.830632960802,9341.859626481828,48192542.478022344
,0.217045209,2.8274584850520004,28.274584850520004,130685.38625466386,273916.56958977546,91305.52319659182,3983.6995035395134,338199.4891025733,429505.01229916513,,0.217045209,260779.32819029666,545028.79591772,181676.26530590665,181676.26530590665,,0.217045209,1211042.2710431041,9833.663240870004,,0.217045209,6133424.921906348,9600814.206915762,20065701.692453943,6688567.230817981,12821992.15272433,,0.217045209,8090.826980835991,18479.760856212488,38622.700189484094,12874.233396494697,20965.060377330687,,0.217045209,-13839.43878038,2408.24262744915,-3677.6888092367994,17680.9746206816,2270.1723659048,2172.87926450888,372.2117348956802,60206927.144159995,,0.217045209,60206927.144159995,429505.01229916513,181676.26530590665,12821992.15272433,20965.060377330687,9833.663240870004,46742954.99021239
