Reactor_Cost,XTOL,Diameter(ft),Length(ft),installation_cost,total_capital_investment,annual_capital_investment,catalyst_cost,annual_catalyst_cost,annual_reactor_cost,Reactor_Heating_Cost,XTOL,installation_cost,total_capital_investment,annual_capital_investment,annual_reactor_heating_cost,Water_Cost,XTOL,volume_flowrate,annual_water_cost,Furnace_Cost,XTOL,annual_operating_cost,installation_cost,total_capital_investment,annual_capital_investment,annual_furnace_cost,Pump_Cost,XTOL,annual_operating_cost,installation_cost,total_capital_investment,annual_capital_investment,annual_pump_cost,Economic Potential 2,XTOL,TOLCOST,BENZCOST,METHCOST,PXYLCOST,MXYLCOST,OXYLCOST,ETHCOST,economic_potential_2,Economic Potential 3,XTOL,economic_potential_2,annual_reactor_cost,annual_reactor_heating_cost,annual_furnace_cost,annual_pump_cost,annual_water_cost,economic_potential_3
,0.0492054302,1.90298,19.0298,62373.76869802299,130735.4191910562,43578.47306368539,1214.5084264733916,103106.70495581398,146685.17801949938,,0.0492054302,224304.8004031543,468797.03284259245,156265.67761419748,156265.67761419748,,0.0492054302,850055.8643518786,6902.453618537254,,0.0492054302,15378546.363595884,20971933.080601275,43831340.138456665,14610446.712818887,29988993.07641477,,0.0492054302,22292.84301923445,35118.05577282849,73396.73656521154,24465.57885507051,46758.42187430496,,0.0492054302,-8697.3865400616,690.03593515808,-1654.9833247127997,17680.9753160296,143.49511877848,137.345327973688,32.38683494248715,67904729.64507967,,0.0523276237,67904729.64507967,146685.17801949938,156265.67761419748,29988993.07641477,46758.42187430496,6902.453618537254,37559124.83753837
,0.089340273,2.024663467391,20.24663467391,70030.29770439539,146783.50398841273,48927.83466280424,1462.7038360120487,124177.46107810621,173105.29574091046,,0.089340273,231241.376019142,483294.47588000674,161098.1586266689,161098.1586266689,,0.089340273,890833.7514918598,7233.5700621139,,0.089340273,8852126.050144766,13114475.343442205,27409253.467794206,9136417.822598068,17988543.87274283,,0.089340273,12833.849681548461,24819.586786843916,51872.93638450378,17290.97879483459,30124.828476383052,,0.089340273,-9079.6593234744,785.4620397494099,-1887.3864521855999,17680.985329040803,320.08092974368003,306.36317561180806,72.24223627885073,66814416.668331094,,0.0823570801,66814416.668331094,173105.29574091046,161098.1586266689,17988543.87274283,30124.828476383052,7233.5700621139,48454310.942682184
,0.120472809,2.1541278164390003,21.54127816439,78626.6837784782,164801.5291996903,54933.84306656343,1761.620141030098,149554.20988953437,204488.0529560978,,0.120472809,239067.90230480107,499651.9158170342,166550.63860567805,166550.63860567805,,0.120472809,937640.2483697557,7613.638816762415,,0.120472809,6894893.054077126,10604956.074650766,22164358.1960201,7388119.398673367,14283012.452750493,,0.120472809,9997.332009082937,21170.64841179735,44246.65518065645,14748.885060218818,24746.217069301754,,0.120472809,-9526.9395710608,899.45045414597,-2157.4240846991997,17680.9753160296,525.61346657344,503.087175148864,118.63091072525108,65553658.384934455,,0.108296212,65553658.384934455,204488.0529560978,166550.63860567805,14283012.452750493,24746.217069301754,7613.638816762415,50867247.384736136
,0.144722797,2.2918705878270003,22.91870587827,88278.29680363023,185031.31010040897,61677.103366802985,2121.622606093665,180116.9191631601,241794.0225299631,,0.144722797,247927.41196936704,518168.2910159771,172722.76367199235,172722.76367199235,,0.144722797,991628.4396475211,8052.022929937871,,0.144722797,6055623.857907683,9497198.76876899,19849145.426727187,6616381.808909062,12672005.666816745,,0.144722797,8787.620137344906,19489.951223298704,40733.99805669429,13577.999352231429,22365.619489576333,,0.144722797,-10049.905420591202,1034.6200451943898,-2470.7749717324796,17680.962660696,764.5539067655999,731.78731076136,172.55974577516608,64089996.70648101,,0.130378419,64089996.70648101,241794.0225299631,172722.76367199235,12672005.666816745,22365.619489576333,8052.022929937871,50973056.611042805
,0.163717026,2.4384211348140004,24.384211348140003,99114.66847295425,207744.3451193121,69248.1150397707,2555.194724707025,216925.38548294015,286173.50052271085,,0.163717026,257937.6368337682,539089.6609825755,179696.55366085848,179696.55366085848,,0.163717026,1053890.2545472402,8557.588866923588,,0.163717026,5677906.542195834,8991258.28989558,18791729.82588176,6263909.941960586,11941816.48415642,,0.163717026,8247.778443103405,18710.24780021018,39104.41790243928,13034.805967479759,21282.584410583164,,0.163717026,-10661.001259924,1195.5365571971697,-2834.00384354568,17680.9437472304,1042.0741440704,997.4138236102401,235.1960368001891,62397697.52432558,,0.149590793,62397697.52432558,286173.50052271085,179696.55366085848,11941816.48415642,21282.584410583164,8557.588866923588,49960170.81270807
,0.179045046,2.594342654174,25.943426541740003,111281.23039324608,233245.4589042438,77748.4863014146,3077.3710837243034,261255.98262867786,339004.46893009247,,0.179045046,269186.3754383656,562599.5246661841,187533.174888728,187533.174888728,,0.179045046,1125423.3967823598,9138.437981872761,,0.179045046,5537606.340658952,8802058.22847852,18396301.697520103,6132100.565840034,11669706.906498985,,0.179045046,8052.204504738345,18422.76943013149,38503.588108974815,12834.52936965827,20886.733874396617,,0.179045046,-11373.264571040801,1387.07528446492,-3253.55849977824,17680.9785146304,1363.3411646736,1304.91225761616,307.70597479358037,60450099.521680884,,0.166360114,60450099.521680884,339004.46893009247,187533.174888728,11669706.906498985,20886.733874396617,9138.437981872761,48223829.799506806
,0.181522005,2.6248000000000005,26.248,113734.07220265798,238386.61533677112,79462.20511225704,3187.0326497313167,270565.7926594816,350027.9977717386,,0.181522005,271456.55283600726,567344.1954272551,189114.73180908503,189114.73180908503,,0.181522005,1140058.4060345648,9257.274257000665,,0.181522005,5532414.079125489,8795042.57396364,18381638.97958401,6127212.9931946695,11659627.07232016,,0.181522005,8046.192212281622,18413.887849353814,38485.025605149465,12828.341868383155,20874.534080664776,,0.181522005,-11520.1665168576,1426.4453620834,-3339.6562581444005,17680.9748988208,1429.3531013384,1368.09511128104,322.60486183647305,60046352.06691861,,0.181240512,60046352.06691861,350027.9977717386,189114.73180908503,11659627.07232016,20874.534080664776,9257.274257000665,47817450.45667996
,0.191422258,2.76023436478,27.6023436478,124941.26697192744,261876.89557315994,87292.29852438664,3706.258750402181,314645.9251643518,401938.2236887385,,0.191422258,281810.5598574796,588984.0701021323,196328.0233673774,196328.0233673774,,0.191422258,1207640.7722462418,9806.043070639482,,0.191422258,5556538.338968682,8827630.323795868,18449747.376733363,6149915.792244454,11706454.131213136,,0.191422258,8087.924864130776,18475.48227198666,38613.75794845212,12871.252649484039,20959.177513614814,,0.191422258,-12203.948340434401,1615.14392086197,-3738.40120742184,17680.975872307998,1735.4537784303998,1661.07718792624,391.6917565701042,58207242.691159844,,0.194417371,58207242.691159844,401938.2236887385,196328.0233673774,11706454.131213136,20959.177513614814,9806.043070639482,45871757.092306346
,0.201885088,2.936733794461,29.36733794461,140278.10558266428,294022.9093012643,98007.63643375477,4463.665103306107,378946.56866609136,476954.2050998461,,0.201885088,295918.23352411477,618469.1080653998,206156.36935513327,206156.36935513327,,0.201885088,1301893.3321581522,10571.373857124194,,0.201885088,5684509.816152809,9000145.646569863,18810304.40133101,6270101.467110337,11954611.283263147,,0.201885088,8282.388746912586,18760.83701137813,39210.14935378029,13070.04978459343,21352.438531506014,,0.201885088,-13171.445691272002,1885.83631036434,-4297.4903154888,17680.9861634584,2165.6229914536,2072.81057753416,488.78090696965654,55624572.68560776,,0.20622577,55624572.68560776,476954.2050998461,206156.36935513327,11954611.283263147,21352.438531506014,10571.373857124194,42954927.01550101
,0.210957053,3.1245192407520004,31.245192407519998,157497.57779953288,330114.92306782096,110038.30768927364,5375.854065135673,456387.61073808064,566425.9184273543,,0.210957053,311604.87848314154,651254.1960297658,217084.73200992192,217084.73200992192,,0.210957053,1409571.0640195087,11445.71703983841,,0.210957053,5903160.523215773,9293565.71055811,19423552.33506645,6474517.445022149,12377677.968237922,,0.210957053,8609.212543228403,19234.450142315218,40200.0007974388,13400.000265812932,22009.212809041335,,0.210957053,-14295.993313325602,2207.730729611,-4940.35207910784,17680.976567656002,2661.6027258967997,2547.53403764408,600.723489053731,52667110.5830396,,0.217045209,52667110.5830396,566425.9184273543,217084.73200992192,12377677.968237922,22009.212809041335,11445.71703983841,39472467.034515515
