Reactor_Cost,XTOL,Diameter(ft),Length(ft),installation_cost,total_capital_investment,annual_capital_investment,catalyst_cost,annual_catalyst_cost,annual_reactor_cost,Reactor_Heating_Cost,XTOL,installation_cost,total_capital_investment,annual_capital_investment,annual_reactor_heating_cost,Water_Cost,XTOL,volume_flowrate,annual_water_cost,Furnace_Cost,XTOL,annual_operating_cost,installation_cost,total_capital_investment,annual_capital_investment,annual_furnace_cost,Pump_Cost,XTOL,annual_operating_cost,installation_cost,total_capital_investment,annual_capital_investment,annual_pump_cost,Economic Potential 2,XTOL,TOLCOST,BENZCOST,METHCOST,PXYLCOST,MXYLCOST,OXYLCOST,ETHCOST,economic_potential_2,Economic Potential 3,XTOL,selectivity,economic_potential_2,annual_reactor_cost,annual_reactor_heating_cost,annual_furnace_cost,annual_pump_cost,annual_water_cost,economic_potential_3
,0.0523276237,1.93579,19.3579,64397.65472153794,134977.48429634352,44992.49476544784,1278.4171456429062,108532.2889269759,153524.78369242375,,0.0523276237,203233.80161917,424758.6453840653,141586.21512802175,141586.21512802175,,0.0523276237,825237.5138781568,6700.928612690632,,0.0523276237,16571595.75376548,22347047.43814829,46705329.14572992,15568443.04857664,32140038.80234212,,0.0523276237,21783.050873920372,34614.69272823084,72344.70780200245,24114.902600667483,45897.953474587855,,0.0523276237,-9037.468063656801,973.8421601486399,-1608.4032375743993,17680.961826278402,186.4932985944,178.50072865464,30.576970785296815,68496705.01832594,,0.0523276237,0.8814222166020135,68496705.01832594,153524.78369242375,141586.21512802175,32140038.80234212,45897.953474587855,6700.928612690632,36008956.3350761
,0.0829164864,2.020738098677,20.20738098677,69776.88706675652,146252.35529192167,48750.78509730722,1454.212754823775,123456.60366472673,172207.38876203395,,0.0829164864,207871.51934511744,434451.4754312954,144817.15847709845,144817.15847709845,,0.0829164864,854386.5886140022,6937.619099545697,,0.0829164864,10864819.754724644,15609163.038604977,32623150.7506844,10874383.583561465,21739203.33828611,,0.0829164864,14282.96207066183,26557.73062261421,55505.657001263695,18501.885667087896,32784.847737749726,,0.0829164864,-9381.23152008,1071.8937508623299,-1760.7046528296,17680.975872307998,338.54896804791997,324.039726560152,55.50763459577742,67881592.70263629,,0.0829164864,0.8491242314726603,67881592.70263629,172207.38876203395,144817.15847709845,21739203.33828611,32784.847737749726,6937.619099545697,45785642.35027376
,0.109253766,2.109413971124,21.09413971124,75605.45499629044,158469.03367222476,52823.011224074915,1654.1820918859016,140433.1671757302,193256.1783998051,,0.109253766,212900.22545788865,444961.4712069872,148320.49040232907,148320.49040232907,,0.109253766,886391.1134057491,7197.495840854683,,0.109253766,8588894.38838889,12782245.163729552,26714892.392194763,8904964.130731586,17493858.519120477,,0.109253766,11291.940021246144,22881.40127123752,47822.12865688641,15940.70955229547,27232.649573541614,,0.109253766,-9764.5446304336,1181.78781582182,-1929.6152080704,17680.9754550992,507.4666753295999,485.71810352976007,83.2029559261602,67196678.01270069,,0.109253766,0.8157914250067309,67196678.01270069,193256.1783998051,148320.49040232907,17493858.519120477,27232.649573541614,7197.495840854683,49326812.67936368
,0.131657598,2.2019811948770003,22.019811948770002,81920.89164559756,171706.18888917248,57235.39629639083,1881.649276098424,159744.18333543913,216979.57963182995,,0.131657598,218380.54680040685,456415.3428128503,152138.44760428343,152138.44760428343,,0.131657598,921736.2479658978,7484.498333483089,,0.131657598,7444511.37413673,11319343.465442056,23657427.842773896,7885809.280924631,15330320.65506136,,0.131657598,9788.091698945776,20886.02215367731,43651.78630118557,14550.595433728524,24338.6871326743,,0.131657598,-10192.4102871272,1305.52701981663,-2117.1556455912,17680.974203472797,695.32240418704,665.522872579024,114.0033073297363,66437038.57853463,,0.131657598,0.7815452069514204,66437038.57853463,216979.57963182995,152138.44760428343,15330320.65506136,24338.6871326743,7484.498333483089,50705776.71077101
,0.15103735,2.298610539424,22.986105394240003,88763.86627443714,186049.06371122025,62016.35457040675,2140.3955605305573,181710.66477420877,243727.01934461552,,0.15103735,224326.23461412167,468841.8303435143,156280.61011450476,156280.61011450476,,0.15103735,960626.4490287038,7800.286766113075,,0.15103735,6794535.92220409,10473607.608041137,21889839.900805976,7296613.300268658,14091149.22247275,,0.15103735,8937.297407548142,19702.71038565879,41178.664706026866,13726.22156867562,22663.518976223764,,0.15103735,-10668.4488955824,1445.3465256443399,-2324.48669660664,17680.9783755608,903.4082716119999,864.6907742572001,148.12054140230202,65604312.504743956,,0.15103735,0.7466720833216578,65604312.504743956,243727.01934461552,156280.61011450476,14091149.22247275,22663.518976223764,7800.286766113075,51082691.84706975
,0.167931559,2.399480261495,23.99480261495,96178.44485632784,201590.02041886316,67196.67347295438,2434.722143609236,206697.76531682574,273894.43878978014,,0.167931559,230787.09732251984,482345.03340406646,160781.6778013555,160781.6778013555,,0.167931559,1003519.9582381835,8148.582060894049,,0.167931559,6415361.2454412095,9974667.295556763,20847054.647713635,6949018.215904545,13364379.461345755,,0.167931559,8443.521900778871,18995.2577216722,39700.08863829489,13233.362879431628,21676.8847802105,,0.167931559,-11198.925286592,1602.37360698309,-2554.123774482,17680.9778192824,1134.3167230639997,1085.7031492184,185.97970861361281,64680860.86061316,,0.167931559,0.7113033386789315,64680860.86061316,273894.43878978014,160781.6778013555,13364379.461345755,21676.8847802105,8148.582060894049,50851979.81583516
,0.18291567,2.504776439724,25.04776439724,104212.37421338356,218429.13635125195,72809.71211708398,2769.521680734868,235120.85102072055,307930.5631378045,,0.18291567,237788.89984419686,496978.8006743714,165659.60022479045,165659.60022479045,,0.18291567,1050740.146462876,8532.009989278551,,0.18291567,6200469.648779886,9689946.248663098,20251987.659705874,6750662.553235291,12951132.202015176,,0.18291567,8165.58957532228,18589.77246372316,38852.6244491814,12950.8748163938,21116.46439171608,,0.18291567,-11789.345348511202,1779.59856216347,-2808.02785345488,17680.980878813603,1390.1501698672,1330.57230544432,227.9255152744023,63666611.971214846,,0.18291567,0.6756807772235424,63666611.971214846,307930.5631378045,165659.60022479045,12951132.202015176,21116.46439171608,8532.009989278551,50212241.13145608
,0.196166729,2.614693319154,26.14693319154,112917.38957777635,236674.84855501924,78891.61618500641,3150.359619544277,267452.40520089434,346344.02138590073,,0.196166729,245370.7861654139,512824.94308571506,170941.64769523835,170941.64769523835,,0.196166729,1102723.2238244088,8954.1125774542,,0.196166729,6103823.968323054,9561415.034368908,19983357.421831015,6661119.140610338,12764943.108933393,,0.196166729,8043.133472598148,18409.368347190037,38475.57984562717,12825.193281875723,20868.32675447387,,0.196166729,-12446.591003197602,1979.0602966717001,-3088.77433775352,17680.9797662568,1673.6247899336,1601.89801322216,274.40329927932396,62547996.71896157,,0.196166729,0.6400012679449473,62547996.71896157,346344.02138590073,170941.64769523835,12764943.108933393,20868.32675447387,8954.1125774542,49235945.501615115
,0.208044614,2.7294336754280004,27.29433675428,122349.54824541719,256444.65312239443,85481.55104079813,3583.5667394878224,304229.8846544349,389711.43569523306,,0.208044614,253569.2841135534,529959.8037973266,176653.2679324422,176653.2679324422,,0.208044614,1159915.0894066833,9418.510525982269,,0.208044614,6093224.599395186,9547300.202799115,19953857.42385015,6651285.80795005,12744510.407345235,,0.208044614,8033.926298255957,18395.759950948857,38447.13829748311,12815.712765827702,20849.639064083658,,0.208044614,-13178.0602633912,2202.9089340891496,-3399.05905407432,17680.9705876632,1987.6098959136,1902.42661466016,325.88350496097786,61309843.79154577,,0.208044614,0.6044766474492126,61309843.79154577,389711.43569523306,176653.2679324422,12744510.407345235,20849.639064083658,9418.510525982269,47968700.5309828
,0.218920782,2.849209169137,28.492091691370003,132569.58894908737,277865.85843728716,92621.95281242905,4076.344316185014,346064.6476761236,438686.60048855265,,0.218920782,262405.4807291175,548427.4547238556,182809.15157461853,182809.15157461853,,0.218920782,1222679.829453343,9928.160215161144,,0.218920782,6147341.483029236,9619327.429462444,20104394.327576507,6701464.775858835,12848806.258888071,,0.218920782,8110.022570764703,18508.045428882568,38681.81494636456,12893.938315454852,21003.960886219556,,0.218920782,-13990.9016488256,2455.53516772519,-3741.2627592880804,17680.977263004,2334.7180227728,2234.65867893968,382.7944781361568,59955631.5000828,,0.218920782,0.5693582795337734,59955631.5000828,438686.60048855265,182809.15157461853,12848806.258888071,21003.960886219556,9928.160215161144,46454397.368030176
